date,member_count,required_member_count,status
2013-12-27,46,200,BLOCKED
2013-12-30,46,200,BLOCKED
2013-12-31,46,200,BLOCKED
2014-01-01,46,200,BLOCKED
2014-01-02,46,200,BLOCKED
2014-01-03,46,200,BLOCKED
2014-01-06,46,200,BLOCKED
2014-01-07,46,200,BLOCKED
2014-01-08,46,200,BLOCKED
2014-01-09,46,200,BLOCKED
2014-01-10,46,200,BLOCKED
2014-01-13,46,200,BLOCKED
2014-01-14,46,200,BLOCKED
2014-01-15,46,200,BLOCKED
2014-01-16,46,200,BLOCKED
2014-01-17,46,200,BLOCKED
2014-01-20,46,200,BLOCKED
2014-01-21,46,200,BLOCKED
2014-01-22,46,200,BLOCKED
2014-01-23,46,200,BLOCKED
2014-01-24,46,200,BLOCKED
2014-01-27,46,200,BLOCKED
2014-01-28,46,200,BLOCKED
2014-01-29,46,200,BLOCKED
2014-01-30,46,200,BLOCKED
2014-01-31,46,200,BLOCKED
2014-02-03,46,200,BLOCKED
2014-02-04,46,200,BLOCKED
2014-02-05,46,200,BLOCKED
2014-02-06,46,200,BLOCKED
2014-02-07,46,200,BLOCKED
2014-02-10,46,200,BLOCKED
2014-02-11,46,200,BLOCKED
2014-02-12,46,200,BLOCKED
2014-02-13,46,200,BLOCKED
2014-02-14,46,200,BLOCKED
2014-02-17,46,200,BLOCKED
2014-02-18,46,200,BLOCKED
2014-02-19,46,200,BLOCKED
2014-02-20,46,200,BLOCKED
2014-02-21,46,200,BLOCKED
2014-02-24,46,200,BLOCKED
2014-02-25,46,200,BLOCKED
2014-02-26,46,200,BLOCKED
2014-02-28,47,200,BLOCKED
2014-03-03,47,200,BLOCKED
2014-03-04,47,200,BLOCKED
2014-03-05,47,200,BLOCKED
2014-03-06,47,200,BLOCKED
2014-03-07,47,200,BLOCKED
2014-03-10,47,200,BLOCKED
2014-03-11,47,200,BLOCKED
2014-03-12,47,200,BLOCKED
2014-03-13,47,200,BLOCKED
2014-03-14,47,200,BLOCKED
2014-03-18,47,200,BLOCKED
2014-03-19,47,200,BLOCKED
2014-03-20,47,200,BLOCKED
2014-03-21,47,200,BLOCKED
2014-03-24,47,200,BLOCKED
2014-03-25,47,200,BLOCKED
2014-03-26,47,200,BLOCKED
2014-03-27,47,200,BLOCKED
2014-03-28,55,200,BLOCKED
2014-03-31,55,200,BLOCKED
2014-04-01,55,200,BLOCKED
2014-04-02,55,200,BLOCKED
2014-04-03,55,200,BLOCKED
2014-04-04,55,200,BLOCKED
2014-04-07,55,200,BLOCKED
2014-04-09,55,200,BLOCKED
2014-04-10,55,200,BLOCKED
2014-04-11,55,200,BLOCKED
2014-04-15,55,200,BLOCKED
2014-04-16,55,200,BLOCKED
2014-04-17,55,200,BLOCKED
2014-04-21,55,200,BLOCKED
2014-04-22,55,200,BLOCKED
2014-04-23,55,200,BLOCKED
2014-04-25,55,200,BLOCKED
2014-04-28,55,200,BLOCKED
2014-04-29,55,200,BLOCKED
2014-04-30,55,200,BLOCKED
2014-05-02,55,200,BLOCKED
2014-05-05,55,200,BLOCKED
2014-05-06,55,200,BLOCKED
2014-05-07,55,200,BLOCKED
2014-05-08,55,200,BLOCKED
2014-05-09,55,200,BLOCKED
2014-05-12,55,200,BLOCKED
2014-05-13,55,200,BLOCKED
2014-05-14,55,200,BLOCKED
2014-05-15,55,200,BLOCKED
2014-05-16,55,200,BLOCKED
2014-05-19,55,200,BLOCKED
2014-05-20,55,200,BLOCKED
2014-05-21,55,200,BLOCKED
2014-05-22,55,200,BLOCKED
2014-05-23,55,200,BLOCKED
2014-05-26,55,200,BLOCKED
2014-05-27,55,200,BLOCKED
2014-05-28,55,200,BLOCKED
2014-05-29,55,200,BLOCKED
2014-05-30,55,200,BLOCKED
2014-06-02,55,200,BLOCKED
2014-06-03,55,200,BLOCKED
2014-06-04,55,200,BLOCKED
2014-06-05,55,200,BLOCKED
2014-06-06,55,200,BLOCKED
2014-06-09,55,200,BLOCKED
2014-06-10,55,200,BLOCKED
2014-06-11,55,200,BLOCKED
2014-06-12,55,200,BLOCKED
2014-06-13,55,200,BLOCKED
2014-06-16,55,200,BLOCKED
2014-06-17,55,200,BLOCKED
2014-06-18,55,200,BLOCKED
2014-06-19,55,200,BLOCKED
2014-06-20,55,200,BLOCKED
2014-06-23,55,200,BLOCKED
2014-06-24,55,200,BLOCKED
2014-06-25,55,200,BLOCKED
2014-06-26,55,200,BLOCKED
2014-06-27,55,200,BLOCKED
2014-06-30,55,200,BLOCKED
2014-07-01,55,200,BLOCKED
2014-07-02,55,200,BLOCKED
2014-07-03,55,200,BLOCKED
2014-07-04,55,200,BLOCKED
2014-07-07,55,200,BLOCKED
2014-07-08,55,200,BLOCKED
2014-07-09,55,200,BLOCKED
2014-07-10,55,200,BLOCKED
2014-07-11,55,200,BLOCKED
2014-07-14,55,200,BLOCKED
2014-07-15,55,200,BLOCKED
2014-07-16,55,200,BLOCKED
2014-07-17,55,200,BLOCKED
2014-07-18,55,200,BLOCKED
2014-07-21,55,200,BLOCKED
2014-07-22,55,200,BLOCKED
2014-07-23,55,200,BLOCKED
2014-07-24,55,200,BLOCKED
2014-07-25,55,200,BLOCKED
2014-07-28,55,200,BLOCKED
2014-07-30,55,200,BLOCKED
2014-07-31,55,200,BLOCKED
2014-08-01,55,200,BLOCKED
2014-08-04,55,200,BLOCKED
2014-08-05,55,200,BLOCKED
2014-08-06,55,200,BLOCKED
2014-08-07,55,200,BLOCKED
2014-08-08,55,200,BLOCKED
2014-08-11,55,200,BLOCKED
2014-08-12,55,200,BLOCKED
2014-08-13,55,200,BLOCKED
2014-08-14,55,200,BLOCKED
2014-08-18,55,200,BLOCKED
2014-08-19,55,200,BLOCKED
2014-08-20,55,200,BLOCKED
2014-08-21,55,200,BLOCKED
2014-08-22,55,200,BLOCKED
2014-08-25,55,200,BLOCKED
2014-08-26,55,200,BLOCKED
2014-08-27,55,200,BLOCKED
2014-08-28,55,200,BLOCKED
2014-09-01,55,200,BLOCKED
2014-09-02,55,200,BLOCKED
2014-09-03,55,200,BLOCKED
2014-09-04,55,200,BLOCKED
2014-09-05,55,200,BLOCKED
2014-09-08,55,200,BLOCKED
2014-09-09,55,200,BLOCKED
2014-09-10,55,200,BLOCKED
2014-09-11,55,200,BLOCKED
2014-09-12,55,200,BLOCKED
2014-09-15,55,200,BLOCKED
2014-09-16,55,200,BLOCKED
2014-09-17,55,200,BLOCKED
2014-09-18,55,200,BLOCKED
2014-09-19,63,200,BLOCKED
2014-09-22,63,200,BLOCKED
2014-09-23,63,200,BLOCKED
2014-09-24,63,200,BLOCKED
2014-09-25,63,200,BLOCKED
2014-09-26,63,200,BLOCKED
2014-09-29,63,200,BLOCKED
2014-09-30,63,200,BLOCKED
2014-10-01,63,200,BLOCKED
2014-10-07,63,200,BLOCKED
2014-10-08,63,200,BLOCKED
2014-10-09,63,200,BLOCKED
2014-10-10,63,200,BLOCKED
2014-10-13,63,200,BLOCKED
2014-10-14,63,200,BLOCKED
2014-10-16,63,200,BLOCKED
2014-10-17,63,200,BLOCKED
2014-10-20,63,200,BLOCKED
2014-10-21,63,200,BLOCKED
2014-10-22,63,200,BLOCKED
2014-10-23,63,200,BLOCKED
2014-10-27,63,200,BLOCKED
2014-10-28,63,200,BLOCKED
2014-10-29,63,200,BLOCKED
2014-10-30,63,200,BLOCKED
2014-10-31,63,200,BLOCKED
2014-11-03,63,200,BLOCKED
2014-11-05,63,200,BLOCKED
2014-11-07,63,200,BLOCKED
2014-11-10,63,200,BLOCKED
2014-11-11,63,200,BLOCKED
2014-11-12,63,200,BLOCKED
2014-11-13,63,200,BLOCKED
2014-11-14,63,200,BLOCKED
2014-11-17,63,200,BLOCKED
2014-11-18,63,200,BLOCKED
2014-11-19,63,200,BLOCKED
2014-11-20,63,200,BLOCKED
2014-11-21,63,200,BLOCKED
2014-11-24,63,200,BLOCKED
2014-11-25,63,200,BLOCKED
2014-11-26,63,200,BLOCKED
2014-11-27,63,200,BLOCKED
2014-11-28,64,200,BLOCKED
2014-12-01,64,200,BLOCKED
2014-12-02,64,200,BLOCKED
2014-12-03,64,200,BLOCKED
2014-12-04,64,200,BLOCKED
2014-12-05,64,200,BLOCKED
2014-12-08,64,200,BLOCKED
2014-12-09,64,200,BLOCKED
2014-12-10,64,200,BLOCKED
2014-12-11,64,200,BLOCKED
2014-12-12,64,200,BLOCKED
2014-12-15,64,200,BLOCKED
2014-12-16,64,200,BLOCKED
2014-12-17,64,200,BLOCKED
2014-12-18,64,200,BLOCKED
2014-12-19,64,200,BLOCKED
2014-12-22,64,200,BLOCKED
2014-12-23,64,200,BLOCKED
2014-12-24,64,200,BLOCKED
2014-12-26,64,200,BLOCKED
2014-12-29,64,200,BLOCKED
2014-12-30,64,200,BLOCKED
2014-12-31,64,200,BLOCKED
2015-01-01,64,200,BLOCKED
2015-01-02,64,200,BLOCKED
2015-01-05,64,200,BLOCKED
2015-01-06,64,200,BLOCKED
2015-01-07,64,200,BLOCKED
2015-01-08,64,200,BLOCKED
2015-01-09,64,200,BLOCKED
2015-01-12,64,200,BLOCKED
2015-01-13,64,200,BLOCKED
2015-01-14,64,200,BLOCKED
2015-01-15,64,200,BLOCKED
2015-01-16,64,200,BLOCKED
2015-01-19,64,200,BLOCKED
2015-01-20,64,200,BLOCKED
2015-01-21,64,200,BLOCKED
2015-01-22,64,200,BLOCKED
2015-01-23,64,200,BLOCKED
2015-01-27,64,200,BLOCKED
2015-01-28,64,200,BLOCKED
2015-01-29,64,200,BLOCKED
2015-01-30,64,200,BLOCKED
2015-02-02,64,200,BLOCKED
2015-02-03,64,200,BLOCKED
2015-02-04,64,200,BLOCKED
2015-02-05,64,200,BLOCKED
2015-02-06,64,200,BLOCKED
2015-02-09,64,200,BLOCKED
2015-02-10,64,200,BLOCKED
2015-02-11,64,200,BLOCKED
2015-02-12,64,200,BLOCKED
2015-02-13,64,200,BLOCKED
2015-02-16,64,200,BLOCKED
2015-02-18,64,200,BLOCKED
2015-02-19,64,200,BLOCKED
2015-02-20,64,200,BLOCKED
2015-02-23,64,200,BLOCKED
