date,member_count,required_member_count,status
2013-05-29,35,200,BLOCKED
2013-05-30,35,200,BLOCKED
2013-05-31,35,200,BLOCKED
2013-06-03,35,200,BLOCKED
2013-06-04,35,200,BLOCKED
2013-06-05,35,200,BLOCKED
2013-06-06,35,200,BLOCKED
2013-06-07,35,200,BLOCKED
2013-06-10,35,200,BLOCKED
2013-06-11,35,200,BLOCKED
2013-06-12,35,200,BLOCKED
2013-06-13,35,200,BLOCKED
2013-06-14,35,200,BLOCKED
2013-06-17,35,200,BLOCKED
2013-06-18,35,200,BLOCKED
2013-06-19,35,200,BLOCKED
2013-06-20,35,200,BLOCKED
2013-06-21,35,200,BLOCKED
2013-06-24,35,200,BLOCKED
2013-06-25,35,200,BLOCKED
2013-06-26,35,200,BLOCKED
2013-06-27,35,200,BLOCKED
2013-06-28,35,200,BLOCKED
2013-07-01,35,200,BLOCKED
2013-07-02,35,200,BLOCKED
2013-07-03,35,200,BLOCKED
2013-07-04,35,200,BLOCKED
2013-07-05,35,200,BLOCKED
2013-07-08,35,200,BLOCKED
2013-07-09,35,200,BLOCKED
2013-07-10,35,200,BLOCKED
2013-07-11,35,200,BLOCKED
2013-07-12,35,200,BLOCKED
2013-07-15,35,200,BLOCKED
2013-07-16,35,200,BLOCKED
2013-07-17,35,200,BLOCKED
2013-07-18,35,200,BLOCKED
2013-07-19,35,200,BLOCKED
2013-07-22,35,200,BLOCKED
2013-07-23,35,200,BLOCKED
2013-07-24,35,200,BLOCKED
2013-07-25,35,200,BLOCKED
2013-07-26,35,200,BLOCKED
2013-07-29,35,200,BLOCKED
2013-07-30,35,200,BLOCKED
2013-07-31,35,200,BLOCKED
2013-08-01,35,200,BLOCKED
2013-08-02,35,200,BLOCKED
2013-08-05,35,200,BLOCKED
2013-08-06,35,200,BLOCKED
2013-08-07,35,200,BLOCKED
2013-08-08,35,200,BLOCKED
2013-08-12,35,200,BLOCKED
2013-08-13,35,200,BLOCKED
2013-08-14,35,200,BLOCKED
2013-08-16,35,200,BLOCKED
2013-08-19,35,200,BLOCKED
2013-08-20,35,200,BLOCKED
2013-08-21,35,200,BLOCKED
2013-08-22,35,200,BLOCKED
2013-08-23,35,200,BLOCKED
2013-08-26,35,200,BLOCKED
2013-08-27,35,200,BLOCKED
2013-08-28,35,200,BLOCKED
2013-08-29,35,200,BLOCKED
2013-08-30,35,200,BLOCKED
2013-09-02,35,200,BLOCKED
2013-09-03,35,200,BLOCKED
2013-09-04,35,200,BLOCKED
2013-09-05,35,200,BLOCKED
2013-09-06,35,200,BLOCKED
2013-09-10,35,200,BLOCKED
2013-09-11,35,200,BLOCKED
2013-09-12,35,200,BLOCKED
2013-09-13,35,200,BLOCKED
2013-09-16,35,200,BLOCKED
2013-09-17,35,200,BLOCKED
2013-09-18,35,200,BLOCKED
2013-09-19,35,200,BLOCKED
2013-09-20,35,200,BLOCKED
2013-09-23,35,200,BLOCKED
2013-09-24,35,200,BLOCKED
2013-09-25,35,200,BLOCKED
2013-09-26,35,200,BLOCKED
2013-09-27,35,200,BLOCKED
2013-09-30,35,200,BLOCKED
2013-10-01,35,200,BLOCKED
2013-10-03,35,200,BLOCKED
2013-10-04,35,200,BLOCKED
2013-10-07,35,200,BLOCKED
2013-10-08,35,200,BLOCKED
2013-10-09,35,200,BLOCKED
2013-10-10,35,200,BLOCKED
2013-10-11,35,200,BLOCKED
2013-10-14,35,200,BLOCKED
2013-10-15,35,200,BLOCKED
2013-10-17,35,200,BLOCKED
2013-10-18,35,200,BLOCKED
2013-10-21,35,200,BLOCKED
2013-10-22,35,200,BLOCKED
2013-10-23,35,200,BLOCKED
2013-10-24,35,200,BLOCKED
2013-10-25,35,200,BLOCKED
2013-10-28,35,200,BLOCKED
2013-10-29,35,200,BLOCKED
2013-10-30,35,200,BLOCKED
2013-10-31,35,200,BLOCKED
2013-11-01,36,200,BLOCKED
2013-11-05,36,200,BLOCKED
2013-11-06,36,200,BLOCKED
2013-11-07,36,200,BLOCKED
2013-11-08,36,200,BLOCKED
2013-11-11,36,200,BLOCKED
2013-11-12,36,200,BLOCKED
2013-11-13,36,200,BLOCKED
2013-11-14,36,200,BLOCKED
2013-11-18,36,200,BLOCKED
2013-11-19,36,200,BLOCKED
2013-11-20,36,200,BLOCKED
2013-11-21,36,200,BLOCKED
2013-11-22,36,200,BLOCKED
2013-11-25,36,200,BLOCKED
2013-11-26,36,200,BLOCKED
2013-11-27,36,200,BLOCKED
2013-11-28,36,200,BLOCKED
2013-11-29,36,200,BLOCKED
2013-12-02,36,200,BLOCKED
2013-12-03,36,200,BLOCKED
