period,evidence_type,snapshot_member_count,status,qa_note
2025-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2026-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2026-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2026-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2026-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2026-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2026-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2026-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2026-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
